source,activityid,facultyid,userid,work_title,year,publisher,publisher_location,isbn_print,doi,pages,page_count,authors,url,status
FAR,69924,112140516,112140516,"Arthur Scarritt, “High Tuition, Low Quality Education, and Racism: the spiral eroding academic integrity,”",2023,,,,10.1007/978-981-287-079-7_128-1,nan,,[],,"[{""id"": 69924, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2023, ""termid"": ""2022/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,70180,114088661,114088661,"‘Seeing Ukraine for the First Time’. Solicited for the volume Invisible Rus, ed. Olenka Pevny. Cambridge: Cambridge University Press, 2025. Submitted.",2025,Cambridge University Press,,,,nan,,[],,"[{""id"": 70180, ""status"": ""In Progress"", ""term"": ""Fall"", ""year"": 2024, ""termid"": ""2024/02"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 70180, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2024, ""termid"": ""2023/03"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 70180, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2023, ""termid"": ""2022/03"", ""listingorder"": 1, ""completionorder"": 1}]"
FAR,70322,111663911,111663911,Promoting inclusion in emergent early childhood learning environments,2024,IGI Global,,,,nan,,[],,"[{""id"": 70322, ""status"": ""In Press"", ""term"": ""Fall"", ""year"": 2023, ""termid"": ""2023/02"", ""listingorder"": 5, ""completionorder"": 5}]"
FAR,70324,112143937,112143937,Promoting inclusion in emergent early childhood learning environments,2024,IGI Global,"Hershey, PA",,,1-26,,[],,"[{""id"": 70324, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2024, ""termid"": ""2024/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,70609,113094020,113094020,Mesoamerican Art and Architecture,2025,Pressbooks,Boise State University,noISBN,no doi,1 - 15,,[],https://boisestate.pressbooks.pub/arthistory/,"[{""id"": 70609, ""status"": ""In Progress"", ""term"": ""Fall"", ""year"": 2025, ""termid"": ""2025/02"", ""listingorder"": 1, ""completionorder"": 1}]"
FAR,70731,111702722,111702722,Error Propagation in Dynamic Iterations Applied to Linear Systems of Differential Equations,2023,Birkhäuser/Springer,Springer Nature Switzerland AG,,,387-400,,[],,"[{""id"": 70731, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2023, ""termid"": ""2023/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,70819,114133843,114133843,Teaching Accessibility Through UX Design,2025,,,,,"UX design infiltrates the practice of technical and professional (TPC) communication because its principles align with the goal of TPC to prioritize the needs of the user. UX goals ask the designer to not only consider if the product is usable but also to consider the experience of that use through innovative thinking (Tham, 2022). This type of design process requires a hyper collaborative relationship with the user and demands the designer relinquish the role of expert to center the user in the design space. Accessibility, the process of ensuring equal access to technologies and information (Oswal, n.d.), aligns with these UX goals. Both UX and accessibility design require the designer to think outside of their own experiences and beyond traditional design, which is why the process begins with empathy. UX invites the designer to emerge in the perspective of the user with a truly open mind attempting to understand how users live in their daily lives (Kelley with Littman, 2005). Using a graduate student technical communication course as a backdrop, this chapter offers methods and benefits for instructors to place UX principles, accessibility practices, and service learning in concert within the technical communication to teach future practitioners the benefit of dispersed power and hyper collaboration. In the course, students are challenged to develop accessible designs with a variety of community partners with disabilities. Students practice user research methods, including interviewing and observation, to understand the access needs these users face in an area of daily living. Students use this data and flexible interaction with their users to inform how they define the need, design the product, and then evaluate, iterate, and implement their designs. As part of this process, students keep reflection journals to capture their own experiences in the UX design space. Students also conference with the instructor at regular intervals. Although there are challenges such as managing community partners, logistics, and scheduling, overwhelmingly, the greatest challenge students encountered was the inability to let go of their own assumptions regarding access solutions and let the user’s experience guide the design process. Students often “solved” the user’s need from their own perspective rather than the lived experience of access for the user. The restructuring of the expert/novice relationship is not an easy transition for students to accomplish in the classroom environment. The dynamics of the classroom typically demand students illustrate their expertise by knowing the “right” method and skill to use to design the “correct” product. The process of centering the user and asking the student to relinquish the role of expert felt disorienting at times. And yet this dynamic, interactive but sometimes uncomfortable relationship is invaluable to accessible, usable designing. In order to facilitate students’ ability to value and practice their dual role of expert and novice requires high-touch guidance from the instructor, which might take the shape of frequent student interviews. The goals of these interactions include students recognizing missteps and forming pathways to revisit their empathy work, which often meant new research, defining, evaluating and iterating. More importantly, these sessions guide students to trust the UX design process and to view accessibility as an experience of the user rather than a list of guidelines. With intentional guidance, students learn UX is not a clean, formulaic process. It is beautifully messy because it engages with the infinite, dynamic diversity of the human experience.",,[],,"[{""id"": 70819, ""status"": ""Accepted"", ""term"": ""Fall"", ""year"": 2023, ""termid"": ""2023/02"", ""listingorder"": 4, ""completionorder"": 4}]"
FAR,70896,111727706,111727706,The meaning of names. Why can’t you pronounce my name right?,2023,LED Edizioni Universitarie di Lettere Economia Diritto,"Milan, Italy",ISBN978-88-5513-120-9,,135-142,,[],,"[{""id"": 70896, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2023, ""termid"": ""2022/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,70904,113145983,113145983,Accessing & Integrating Openly Licensed Digital Materials for Teaching and Learning.,2023,,,,,nan,,[],https://www.learntechlib.org/p/222690/,"[{""id"": 70904, ""status"": ""In Press"", ""term"": ""Summer"", ""year"": 2023, ""termid"": ""2023/01"", ""listingorder"": 5, ""completionorder"": 5}, {""id"": 70904, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2023, ""termid"": ""2023/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,71040,112176072,112176072,Climate Change Adaptation: Multiphysics Numerical Modeling of Transient Transport of PFAS,2023,Springer,Singapore,,,nan,,[],,"[{""id"": 71040, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2023, ""termid"": ""2023/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,71043,112176072,112176072,Sustainable Earth and Beyond: Variations in the Capacity of Driven Energy Piles in Clay,2023,Springer,Singapore,,10.1007/978-981-99-4041-7_3,nan,,[],,"[{""id"": 71043, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2023, ""termid"": ""2023/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,71204,114227400,114227400,Grading and Feedback Processes,2025,,,,,nan,,[],,"[{""id"": 71204, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2024, ""termid"": ""2023/03"", ""listingorder"": 1, ""completionorder"": 1}]"
FAR,71242,111323598,111323598,Research Data Management Stone Soup: Gauging Team Competencies,2022,Association of College and Research Libraries,,,,211-213,,[],,"[{""id"": 71242, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2022, ""termid"": ""2022/02"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 71242, ""status"": ""Revise &amp; Resubmit"", ""term"": ""Spring"", ""year"": 2021, ""termid"": ""2020/03"", ""listingorder"": 3, ""completionorder"": 3}]"
FAR,71365,113153909,113153909,Clause-Combining: Relative Clauses,2023,DeGruyter Mouton,Berlin,978-3-11-059798-1,10.1515/9783110600926,323-344,,[],,"[{""id"": 71365, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2024, ""termid"": ""2023/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,71366,113153909,113153909,Applicatives in Northern Uto-Aztecan Languages,2024,DeGruyter Mouton,Berlin,978-3-11-073548-2,10.1515/9783110730951-015,477-509,,[],,"[{""id"": 71366, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2024, ""termid"": ""2023/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,71619,111346076,111346076,Structures of Support for the ongoing Professional Development of Teacher Educators,2024,Information Age Publishing,"Charlotte,NC",,,nan,,[],,"[{""id"": 71619, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2023, ""termid"": ""2022/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 71619, ""status"": ""Submitted"", ""term"": ""Fall"", ""year"": 2022, ""termid"": ""2022/02"", ""listingorder"": 2, ""completionorder"": 2}]"
FAR,71636,111346076,111346076,Cross-institutional Collaboration for United Voices in Teacher Education Policy,2022,Information Age Publishing,"Charlotte, NC",,,nan,,[],,"[{""id"": 71636, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2023, ""termid"": ""2022/03"", ""listingorder"": 4, ""completionorder"": 4}]"
FAR,71639,111346076,111346076,Structures of Support for the Ongoing Professional Development of Teacher Educators,2024,,,,,nan,,[],,"[{""id"": 71639, ""status"": ""In Press"", ""term"": ""Spring"", ""year"": 2024, ""termid"": ""2023/03"", ""listingorder"": 5, ""completionorder"": 5}]"
FAR,71640,111346076,111346076,Following the Developmental Trajectory of School-Based Teacher Educators: The Path to Professional Agency,2024,Information Age Publishing,,,,nan,,[],,"[{""id"": 71640, ""status"": ""In Press"", ""term"": ""Spring"", ""year"": 2024, ""termid"": ""2023/03"", ""listingorder"": 5, ""completionorder"": 5}]"
FAR,71793,113047992,113047992,Ritual Resistance: Festival Conflicts in Wallonia during the French Revolutionary E ra (1786-1830),2025,Brepols,,,,"Francophone Belgium has a rich tradition of popular festivals dating back to the fourteenth century, including saint military marches, processionals of ‘giants’ (massive puppets), and carnival celebrations. Between 1786-1830, Wallonian communities marginalized by foreign occupation sought to defend and preserve these traditions. Evolving over centuries into elaborate public ceremonies, the religious origins of these festivals were eclipsed in the eighteenth century by secular tropes and enthusiastic popular participation. Emperor Joseph II attempted to regulate festival culture in 1786, a decision that engendered significant resistance and was a leading catalyst for Belgian revolt against Austrian rule during the Brabantine Revolution. In the French Revolutionary era, during which festivals with Catholic origins were banned and replaced with commemorations of the French Republic, the preservation of these folkloric traditions was a focal point for Belgian popular resistance. After Napoleon’s defeat at Waterloo, the Dutch annexation of Belgian provinces brought still more foreign regulation, continuing the centralized restrictions on festival life that originated during the Austrian and French eras of occupation. Historical research for this period of festival culture in Belgium has not received significant attention beyond isolated studies centered on specific festivals. This chapter analyzes how the proponents of these festivals weathered widespread regulation and outright bans of what were historically liturgical processionals across the Wallonian province of Hainaut, and how what began as religious rituals espoused by ecclesiastical elites became populist symbols of unity and resistance. Popular voices were not often included in the historical record of early modern Belgium and when they appear in archival documents, it is often as protest to elites - either provincial governments or the regency administrators of various foreign occupiers, including Austrians, French, and Dutch. Ultimately, this study centers on how ordinary people in these communities experienced and defended Wallonian festival culture during a critical fifty-year period when regulation and interdiction threatened to destroy traditional celebrations in Hainaut.",,[],,"[{""id"": 71793, ""status"": ""In Press"", ""term"": ""Spring"", ""year"": 2024, ""termid"": ""2023/03"", ""listingorder"": 5, ""completionorder"": 5}, {""id"": 71793, ""status"": ""Accepted"", ""term"": ""Fall"", ""year"": 2023, ""termid"": ""2023/02"", ""listingorder"": 4, ""completionorder"": 4}]"
FAR,71905,111690596,111690596,Financial strain and family relationships.,2024,,,,,nan,,[],,"[{""id"": 71905, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2024, ""termid"": ""2023/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 71905, ""status"": ""Accepted"", ""term"": ""Fall"", ""year"": 2023, ""termid"": ""2023/02"", ""listingorder"": 4, ""completionorder"": 4}]"
FAR,71919,111727002,111727002,"""Uncharted Depths: Making a Case for Naval Environmental Histories.""",2024,Marine Corps University Press,"Washington, DC",,,nan,,[],,"[{""id"": 71919, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2024, ""termid"": ""2023/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 71919, ""status"": ""In Press"", ""term"": ""Spring"", ""year"": 2024, ""termid"": ""2023/03"", ""listingorder"": 5, ""completionorder"": 5}]"
FAR,72011,111346076,111346076,Facing practice as teacher educators: A self-study of program graduates,2019,,,,,249-272,,[],,"[{""id"": 72011, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2019, ""termid"": ""2019/02"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 72011, ""status"": ""In Press"", ""term"": ""Spring"", ""year"": 2018, ""termid"": ""2017/03"", ""listingorder"": 5, ""completionorder"": 5}, {""id"": 72011, ""status"": ""Submitted"", ""term"": ""Fall"", ""year"": 2017, ""termid"": ""2017/02"", ""listingorder"": 2, ""completionorder"": 2}, {""id"": 72011, ""status"": ""Submitted"", ""term"": ""Summer"", ""year"": 2017, ""termid"": ""2017/01"", ""listingorder"": 2, ""completionorder"": 2}, {""id"": 72011, ""status"": ""Submitted"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 2, ""completionorder"": 2}]"
FAR,74111,114282606,114282606,Hijras of India: A Comprehensive Review of the Literature,2024,Nova Science Publishers,,979-8-89530-070-1,,179-192,,[],,"[{""id"": 74111, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2024, ""termid"": ""2024/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,74181,114171943,114171943,Antitrust Law: College Sports Application,2024,Kendall Hunt,"Dubuque, IA",979-8-3851-1213-5,,511-522,,[],,"[{""id"": 74181, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2024, ""termid"": ""2024/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,74384,114204921,114204921,How can multimedia enhance cognition? The Cognitive Theory of Multimedia Learning applied to instructional products.,2025,,,,,nan,,[],https://edtechbooks.org/design_psychology/CTML,"[{""id"": 74384, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2024, ""termid"": ""2024/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,74579,111715805,111715805,Diets of Hunter-gatherers in the Arctic and Subarctic,2024,Oxford University Press,,,,681-699,,[],,"[{""id"": 74579, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2024, ""termid"": ""2024/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,74719,111715805,111715805,Kinship,2025,EHBEA,,,,nan,,[],,"[{""id"": 74719, ""status"": ""Submitted"", ""term"": ""Fall"", ""year"": 2025, ""termid"": ""2025/02"", ""listingorder"": 2, ""completionorder"": 2}, {""id"": 74719, ""status"": ""Revise &amp; Resubmit"", ""term"": ""Summer"", ""year"": 2025, ""termid"": ""2025/01"", ""listingorder"": 3, ""completionorder"": 3}, {""id"": 74719, ""status"": ""Submitted"", ""term"": ""Fall"", ""year"": 2024, ""termid"": ""2024/02"", ""listingorder"": 2, ""completionorder"": 2}, {""id"": 74719, ""status"": ""Revise &amp; Resubmit"", ""term"": ""Summer"", ""year"": 2024, ""termid"": ""2024/01"", ""listingorder"": 3, ""completionorder"": 3}, {""id"": 74719, ""status"": ""Revise &amp; Resubmit"", ""term"": ""Spring"", ""year"": 2024, ""termid"": ""2023/03"", ""listingorder"": 3, ""completionorder"": 3}]"
FAR,74809,114282606,114282606,"Sexual Health Knowledge, Attitudes, and Behaviors Amongst South-Asian International Students in the U.S.",2024,Nova Science Publishers,,979-8-89530-149-4,,85-106,,[],,"[{""id"": 74809, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2024, ""termid"": ""2024/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,74885,114247080,114247080,Gender Composition of Probation and Parole Officers in the United States,2026,,,,,nan,,[],,"[{""id"": 74885, ""status"": ""Submitted"", ""term"": ""Fall"", ""year"": 2024, ""termid"": ""2024/02"", ""listingorder"": 2, ""completionorder"": 2}]"
FAR,75048,111715805,111715805,Food Sharing in the Arctic,2025,Routledge,,,,nan,,[],,"[{""id"": 75048, ""status"": ""Submitted"", ""term"": ""Fall"", ""year"": 2025, ""termid"": ""2025/02"", ""listingorder"": 2, ""completionorder"": 2}, {""id"": 75048, ""status"": ""Revise &amp; Resubmit"", ""term"": ""Spring"", ""year"": 2025, ""termid"": ""2024/03"", ""listingorder"": 3, ""completionorder"": 3}, {""id"": 75048, ""status"": ""Submitted"", ""term"": ""Summer"", ""year"": 2024, ""termid"": ""2024/01"", ""listingorder"": 2, ""completionorder"": 2}]"
FAR,75098,114111823,114111823,Basque Diaspora Identities,2025,,,,,"This chapter delves into the multifaceted identities of the Basque diaspora across the American continent, focusing on how identities are constructed both within Basque communities and by external influences.",,[],,"[{""id"": 75098, ""status"": ""In Progress"", ""term"": ""Fall"", ""year"": 2024, ""termid"": ""2024/02"", ""listingorder"": 1, ""completionorder"": 1}]"
FAR,75214,114043970,114043970,The age-crime curve from a biosocial perspective,2025,,,,,nan,,[],,"[{""id"": 75214, ""status"": ""In Progress"", ""term"": ""Fall"", ""year"": 2024, ""termid"": ""2024/02"", ""listingorder"": 1, ""completionorder"": 1}]"
FAR,75215,114043970,114043970,"Police perceptions on drugs, prostitution, and gambling: An examination of formal social control on the enforcement of morality",2026,,,,,nan,,[],,"[{""id"": 75215, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2025, ""termid"": ""2024/03"", ""listingorder"": 1, ""completionorder"": 1}]"
FAR,75241,114252629,114252629,The Transformative Power of Failure in Everyday Organizing: Failure’s Irony,2025,Lexington Books,,,,nan,,[],,"[{""id"": 75241, ""status"": ""Accepted"", ""term"": ""Fall"", ""year"": 2024, ""termid"": ""2024/02"", ""listingorder"": 4, ""completionorder"": 4}, {""id"": 75241, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2024, ""termid"": ""2023/03"", ""listingorder"": 4, ""completionorder"": 4}]"
