activityid,facultyid,userid,fields__activity_type,fields__actual_projected_year_of_publication_presentation,fields__author,fields__author_editor_of_larger_work,fields__author_s,fields__author_s_editor_s,fields__book_title,fields__chapter_title,fields__co_contributor,fields__co_contributor_s,fields__conference_location,fields__conference_meeting_name,fields__contributor,fields__contributor_s,fields__copyright_patent_number_id,fields__date,fields__date_or_date_range,fields__date_published,fields__description_abstract,fields__doi,fields__edition,fields__if_patent_cooperation_treaty_list_nations,fields__if_patent_has_been_assigned_to_whom,fields__if_patent_has_been_licensed_to_whom,fields__inventor_s,fields__isbn,fields__isbn_issn,fields__isbn_issn_asin,fields__isbn_issn_asin_number,fields__issn,fields__issn_isbn,fields__issue,fields__issue_number,fields__issue_number_edition,fields__journal,fields__location_of_publisher_city_state_country,fields__month,fields__month_season,fields__name_of_conference,fields__name_of_performing_group,fields__name_of_venue,fields__name_of_venue_sponsor,fields__organization_if_applicable,fields__origin,fields__outlet_if_applicable,fields__page_number_or_number_of_pages,fields__page_numbers,fields__page_numbers_of_number_of_pages,fields__page_numbers_or_number_of_pages,fields__patent_nationality,fields__presenter_s,fields__publisher,fields__publisher_location,fields__pubmed_central_id_number,fields__sponsoring_organization,fields__title,fields__title_of_contribution,fields__title_of_contribution_if_applicable,fields__title_of_intellectual_property,fields__title_of_larger_work,fields__title_of_larger_work_if_applicable,fields__title_of_presentation,fields__title_of_review,fields__title_of_work,fields__type,fields__url,fields__venue_sponsor_location_city_state_country,fields__volume,fields__web_address,fields__work_exhibit_title,attachments,status,authors
21517,111727002,111727002,,2019.0,,ed. Aaron Sheehan-Dean,,,Cambridge History of the American Civil War,"""Environment and War""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,249-267,,,,,Cambridge University Press,New York,,,,,,,,,,,,Chapter,,,II,,,[],"[{""id"": 21517, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2019, ""termid"": ""2019/02"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 21517, ""status"": ""Accepted"", ""term"": ""Summer"", ""year"": 2018, ""termid"": ""2018/01"", ""listingorder"": 4, ""completionorder"": 4}, {""id"": 21517, ""status"": ""In Press"", ""term"": ""Spring"", ""year"": 2018, ""termid"": ""2017/03"", ""listingorder"": 5, ""completionorder"": 5}, {""id"": 21517, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 1, ""completionorder"": 1}]","['Brady, L. M.']"
21518,111727002,111727002,,2018.0,,Joan Cashin,,,War Matters: Essays on the Material Culture of the American Civil War,"""Nature as Material Culture: Antietam National Battlefield""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,University of North Carolina Press,"Chapel Hill, NC",,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 21518, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2018, ""termid"": ""2018/02"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 21518, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 4, ""completionorder"": 4}, {""id"": 21518, ""status"": ""Submitted"", ""term"": ""Fall"", ""year"": 2016, ""termid"": ""2016/02"", ""listingorder"": 2, ""completionorder"": 2}]","['Brady, L. M.', 'Silver, T.']"
21836,111114394,111114394,,2018.0,,Dawn Keetley and Matthew Wynn Sivils,,,Ecogothic in Nineteenth-Century American Literature,"""Perverse Nature"": Anxieties of Animality and Environment in Charles Brockden Brown’s Edgar Huntly",,,,,,,,,,,"Charles Brockden Brown’s 1799 Edgar Huntly famously aims “to exhibit a series of adventures, growing out of the condition of our country,” noting that the “incidents of Indian hostility, and the perils of the western wilderness” are the most appropriate materials for American readers (Brown 3). Scholarship has long focused on the novel’s “wilderness” setting, but only recently have scholars begun to approach Edgar Huntly from an explicitly ecocritical perspective. This essay builds on existing scholarship to address Brown’s novel through the dual lenses of ecocriticism and Gothic studies, examining its representations of place, landscape, and psychology, emphasizing its engagement with anxieties about humanity and animality. 
Until now, the term “ecogothic” has been insufficiently defined; this essay approaches this term understanding the Gothic as a mode (building on the work of Jerrold Hogle and Teresa Goddu) to show how Gothic moments in texts can be read ecocritically. The explicitly Gothic moments in Edgar Huntly depict cultural anxieties not just about “wilderness,” but also about the slippery divide between humanity and animality. Amid all the threats that Huntly encounters, none are more unsettling than realizing that the boundaries between the human and more-than-human world are penetrable and unstable—and may be entirely social constructions. Textually, the novel blurs boundaries between the Delaware Indians, “savage” panthers, and the sleepwalking Clithero Edny, and eventually Huntly finds himself part of this elision of categories—where “human” and “animal” collapse. In Huntly’s transformation, we see playing out Stacy Alaimo’s new materialist concept that “the human is always intermeshed with the more-than-human world,” and that “the substance of the human is ultimately inseparable from ‘the environment’” (2). This reading of Edgar Huntly, finally, shows how the idea of the body as nature, as environment, is a specter that haunts the otherwise rational, enlightened late-eighteenth-century subject.
Role:  Principal",9781138206458,,,,,,,,,,,,,,,,,,,,,,,,Other,,,21-35,,,,,Routledge,,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 21836, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2018, ""termid"": ""2017/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 21836, ""status"": ""Accepted"", ""term"": ""Summer"", ""year"": 2016, ""termid"": ""2016/01"", ""listingorder"": 4, ""completionorder"": 4}]","['Hillard, T. J.']"
21948,112110324,112110324,,2018.0,,,,,,Petrology and geochronology of metamorphic zircon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,American Geophysical Union,,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 21948, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 21948, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 4, ""completionorder"": 4}]","['Kohn, M. J.', 'Kelly, N.']"
21949,112110324,112110324,,2017.0,,,,,Petrochronology: Methods and Applications,Titanite petrochronology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Mineralogical Society of America,,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 21949, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 21949, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 4, ""completionorder"": 4}]","['Kohn, M. J.']"
22119,111643332,111643332,,2016.0,,George Anderson,,,Novelists on the American Civil War,Stephen Crane,,,,,,,,,,,"This is a 5,500-word essay on Stephen Crane for the Dictionary of Literary Biography's volume on Civil War Novelists.
",,,,,,,,,,,,,,,,,,,,,,,,,Other,,,103-112,,,,,Gale Research,"Farmington Hills, MI",,,,,,,,,,,,Chapter,,,378,,,[],"[{""id"": 22119, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Olsen-Smith, S. S.']"
22141,113024765,113024765,,2024.0,,Brian Winkenweder and Tijen Tunali,,,,"""Of Rocks and Hard Places: Photography and Art Criticism at the Dawn of the 'Reagan Era'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Routledge Press,London,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 22141, ""status"": ""Submitted"", ""term"": ""Spring"", ""year"": 2022, ""termid"": ""2021/03"", ""listingorder"": 2, ""completionorder"": 2}, {""id"": 22141, ""status"": ""In Progress"", ""term"": ""Summer"", ""year"": 2015, ""termid"": ""2015/01"", ""listingorder"": 1, ""completionorder"": 1}]","['Peariso, C.']"
22245,111203681,111203681,,2017.0,,,,,,Outreach and Marketing Using Twitter ,,,,,,,,,,,"Book chapter for Marketing Libraries with Technology: A How To Do It Guide (A LITA Guide).
Role:  Co-Principal",,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,ALA TechSource,,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 22245, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2018, ""termid"": ""2017/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 22245, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 4, ""completionorder"": 4}]","['Silva, J. G. C.', 'Moore, C.', 'Vecchione, A. E.']"
22275,114001406,114001406,,2017.0,,Alessandro Bonanno and Steven Wolf,,,Critiques of Resistance to the Neoliberal Food Regime,Resistance to global agrifood and its limitations: Considering the gendered labor of food provisioning,,,,,,,,,,,"This paper will be presented at the International Rural Sociological Association annual meeting as a part of a mini-conference focused on considering resistance to agrifood, and its impediments.  Papers presented at the mini-conference will be considered for inclusion in an edited volume to be published in 2017 and in a special issue of the International Journal of Sociology of Agriculture and Food.
Role:  Principal",,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Routledge,London,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 22275, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2017, ""termid"": ""2017/02"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 22275, ""status"": ""Submitted"", ""term"": ""Fall"", ""year"": 2016, ""termid"": ""2016/02"", ""listingorder"": 2, ""completionorder"": 2}, {""id"": 22275, ""status"": ""Submitted"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 2, ""completionorder"": 2}]","['Som Castellano, R. L.']"
22437,111110214,111110214,,2015.0,,,,,,"Witt, Stephanie L. and Brian Laurent, “Go Away Closer The Collision of Culture and Governance in the Great Basin” in Judd and Witt, Cities, Sagebrush and Solitude (under review).",,,,,,,,,,,"The Great Basin covers vast territories of land, but all of it is part of one county or another.  County government is the one form of government that touches all parts of the Great Basin territory.  Based upon a centuries old model of independently elected citizen officials, county governments in the Great Basin face multiple challenges in providing services across such great expanses.  Rural counties such as those in the Great Basin are in large part dependent upon federal paybacks and Payments in Lieu of Taxes (PILTs), yet the region has a strong tradition of resistance to big government.  The chapter describes the limitations of financial dependence upon federal land management agency payments, property tax limits imposed by citizens and legislatures and the lack of capacity to meet these challenges among Great Basin county governments.
Role:  Principal",,1,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,University of Nevada Press,"Reno, NV, USA",,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 22437, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2015, ""termid"": ""2014/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Laurent, B.']"
23323,111698666,111698666,,2001.0,,J. Kowalak (Series Ed.) and R. C. Schenck (Vol. Ed.),,,,"The three critical components in the conservative treatment of juvenile osteochondritis dissecans (JOCD): Physician, Parent and Child",,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,Other,,,287-298,,,,,Clinics in Sports Medicine/Saunders, ,,,,,,,,,,,,Chapter,,,20,,,[],"[{""id"": 23323, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2001, ""termid"": ""2000/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Cahill, B. R.', 'Ahten, S.']"
23330,113153409,113153409,,2016.0,,Michael Allen and Justin Vaughn,,,PoliSciFi,Understanding Civil War through Star Wars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,184-196,,,,,Routledge, ,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 23330, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 23330, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2015, ""termid"": ""2014/03"", ""listingorder"": 4, ""completionorder"": 4}]","['Allen, M.']"
23355,111110410,111110410,,2014.0,,Brent Steel,,,,Acid Rain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Sage Publications/CQ Press, ,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 23355, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2014, ""termid"": ""2014/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Alm, L. R.']"
23356,111110410,111110410,,2008.0,,Gerald Miller and Kaifeng Yang,,,Handbook of Research Methods in Public Administration,Linear Correlation and Regression,,,,,,,,,,,,,Second Edition,,,,,,,,,,,,,,,,,,,,,,,Other,,,427-453,,,,,Taylor and Francis,New York ,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 23356, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2008, ""termid"": ""2008/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Alm, L. R.', 'Mason, S. G.']"
23357,111110410,111110410,,1999.0,,Gerald Miller and Marcia Whicker,,,The Handbook of Research Methods in Public Administration,Linear Correlation and Regression,,,,,,,,,,,,,First,,,,,,,,,,,,,,,,,,,,,,,Other,,,249-281,,,,,Marcel Dekker,New York ,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 23357, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 1999, ""termid"": ""1999/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Alm, L. R.']"
23358,111110410,111110410,,2013.0,,Mark Kasoff and Patrick James,,,,Canadian Environmental Policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,284-303,,,,,University of Toronto Press, ,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 23358, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2013, ""termid"": ""2013/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Alm, L. R.']"
23359,111110410,111110410,,2016.0,,Zach Smith and John Freemuth,,,,"Energy, the Environment, and the American West",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,University of Colorado Press, ,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 23359, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2014, ""termid"": ""2013/03"", ""listingorder"": 4, ""completionorder"": 4}]","['Alm, L. R.']"
23360,111110410,111110410,,1993.0,,Zachary Smith,,,Environmental Politics and Public Policy in the West,The Policy Process and the American West: An Environmental Perspective,,,,,,,,,,,,,First,,,,,,,,,,,,,,,,,,,,,,,Other,,,25-Jul,,,,,Kendall/Hunt, ,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 23360, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 1993, ""termid"": ""1993/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Alm, L. R.']"
23361,111110410,111110410,,2016.0,,,,,Canadian Studies in the New Millennium,Canadian Environmental Policy,,,,,,,,,,,"This chapter covers several aspects of Canadian environmental policy.  We examine constitutional features such as the internal federal-provincial relationship regarding the environment and the dominance of the provincial policy.  The relationship between Canada and the United States also merits consideration.  The dominance of the United States in its advocacy in environmental protection and Canada’s supportive role and eventual adjustment to the policy priorities of the United States is emphasized.  We then focus on the domestic environmental policy-making process and public opinion about the importance of the environment in relation to other public policy concerns.  Then we highlight the influential international role that Canada has played in creating and supporting multinational environmental agreements.  Finally, we provide some future perspective on environmental policy-making in Canada.",,Second,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,University of Toronto Press,"Toronto, Ontario Canada",,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 23361, ""status"": ""Accepted"", ""term"": ""Fall"", ""year"": 2011, ""termid"": ""2011/02"", ""listingorder"": 4, ""completionorder"": 4}]","['Alm, L. R.', 'Burkhart, R. E.']"
23365,111110410,111110410,,1999.0,,,,,Handbook of Global Environmental Policy and Administration,"Scientists, Politics, and Environmental Policymaking: The U.S.-Canadian Acid Rain Debate",,,,,,,,,,,"The culmination of separate and bilateral acid rain policies in Canada and the United States was marked in March 1991 by the signing of the Agreement Between the Government of Canada and the Government of the United State on Air Quality (commonly referred to as the Air Quality Accord).  The signing promised cleaner air and a healthier environment for both Americans and Canadians, as well as ""a new era of environmental cooperation between the United States and Canada"" (Progress Report 1994: 5).  These words of optimism are in stark contrast to the long and difficult process needed to bring about the agreement to reduce cross-border pollution.  Both Canada and the United States experienced contentious policy debates within their own nations as well as a very long and often acrimonious debate across their respective borders.",,,,,,,,,,,,,,,,,,,,,,,,,Other,,,579-595,,,,,Handbook of Global Environmental Policy and Administration, ,,,,,,,,,,,,Chapter,,,,http://scholarworks.boisestate.edu/pubadmin_facpubs/29,,[],"[{""id"": 23365, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 1999, ""termid"": ""1998/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Alm, L. R.']"
23366,111110410,111110410,,2007.0,,,,,Environmental Politics and Policy in the West,The Policy Process and the American West: An Environmental Perspective,,,,,,,,,,,"Public policy making in the United States rests in a seemingly inexhaustible set of concepts and processes that have been described as predominantly ""chaotic"" (Birkland 2001, 3). The diligent student of American public policy must deal with the fact that public policy is said to be inclusive of all political activities and institutions, ""from voting, political cultures, parties, legislatures, bureaucracies, international agencies, local governments, and back again, to the citizens who implement and evaluate public policies"" (John 2003, 483). One must differentiate between federalism and separation of powers, between pluralism and elitism, and between fragmentation and incrementalism. Simply put, we are faced with the proposition that the sheer complexity of what is going on in public policy making precludes simple, straightforward, sequential explanations (John 2003).",,,,,,,,,,,,,,,,,,,,,,,,,Other,,,18-Jan,,,,,Environmental Politics and Policy in the West, ,,,,,,,,,,,,Chapter,,,,http://scholarworks.boisestate.edu/pubadmin_facpubs/8,,[],"[{""id"": 23366, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2007, ""termid"": ""2006/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Alm, L. R.']"
23367,111110410,111110410,,1997.0,,,,,"Public Lands Management in the West: Citizens, Interest Groups and Values",County Government and the Public Lands: A Review of the County Supremacy Movement in Four Western States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,95-110,,,,,"Public Lands Management in the West: Citizens, Interest Groups and Values", ,,,,,,,,,,,,Chapter,,,,http://scholarworks.boisestate.edu/pubadmin_facpubs/19,,[],"[{""id"": 23367, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 1997, ""termid"": ""1996/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Witt, S. L.', 'Alm, L. R.']"
23368,111110410,111110410,,1997.0,,,,,Anti-Gay Rights: Assessing Voter Initiatives,The Correlates of Tolerance: Analyzing the Statewide Votes on Anti-Gay Initiatives,,,,,,,,,,,"Voters in four states-- Colorado, Idaho, Oregon, and Maine--have voted on statewide anti-gay initiatives in recent years. Oregon voters have considered two different measures, one in 1992 (Measure 13) and one in 1994 (Measure 9). With the exception of Colorado's 1992 vote on Amendment Two, all of the statewide anti-gay initiatives have failed at the ballot box. Colorado's Amendment Two was later struck down by the U.S. Supreme Court (see Chapter 11). Table A. 11 displays the election results for the four statewide votes considered in this chapter. This analysis uses county-level data to evaluate the votes on four of these anti-gay initiatives (the 1992 Oregon initiative is not used).
The literature on public opinion and attitudes towards gays suggests that certain voter characteristics correlate with tolerance toward gays. An important empirical question is whether or not voters take those predispositions with them into the voting booth when considering anti-gay initiatives. By comparing socioeconomic, political, and religious characteristics of county populations with the county's vote on the anti-gay measure, we can begin to assess the relationship between tolerance and this divisive social issue.",,,,,,,,,,,,,,,,,,,,,,,,,Other,,,127-132,,,,,Anti-Gay Rights: Assessing Voter Initiatives, ,,,,,,,,,,,,Chapter,,,,http://scholarworks.boisestate.edu/pubadmin_facpubs/18,,[],"[{""id"": 23368, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 1997, ""termid"": ""1996/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Witt, S. L.', 'Alm, L. R.']"
23386,112071180,112071180,,2013.0,,Vera Gubnitskaia,,,"How to STEM: Science, Technology, Engineering, and Math Education in Libraries",Helping students become “math ready”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Scarecrow Press, ,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 23386, ""status"": ""Work Discontinued"", ""term"": ""Spring"", ""year"": 2013, ""termid"": ""2012/03"", ""listingorder"": 7, ""completionorder"": 1}]","['Armstrong, P. M.']"
23571,111110347,111110347,,2010.0,,Sondra Perl and Charles Schuster,,,Stepping on My Brother's Head and Other Secrets Your English Professor Never Told You: A College Reader,Theories of Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Stepping on My Brother's Head and Other Secrets Your English Professor Never Told You: A College Reader, ,,,,,,,,,,,,Chapter,,,,http://scholarworks.boisestate.edu/english_facpubs/61,,[],"[{""id"": 23571, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2010, ""termid"": ""2009/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Ballenger, B.']"
23572,111110347,111110347,,2001.0,,Wendy Bishop,,,The Subject is Research,Learning to Trust the Twelfth Picture on the Rolll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Heinemann/Boynton-Cook,"Portsmouth, NH ",,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 23572, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2001, ""termid"": ""2000/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Ballenger, B.']"
23586,111110347,111110347,,2001.0,,,,,The Subject is Research,Learning to Trust the Twelfth Picture on the Roll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,The Subject is Research, ,,,,,,,,,,,,Chapter,,,,http://scholarworks.boisestate.edu/english_facpubs/57,,[],"[{""id"": 23586, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2001, ""termid"": ""2000/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Ballenger, B.']"
23587,111110347,111110347,,2001.0,,,,,Genre by Example,The Importance of Writing Badly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Genre by Example, ,,,,,,,,,,,,Chapter,,,,http://scholarworks.boisestate.edu/english_facpubs/58,,[],"[{""id"": 23587, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2001, ""termid"": ""2000/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Ballenger, B.']"
23621,113116789,113116789,,2013.0,,Dr. Meheli Sen & Dr. Anustup Basu,,,Figurations in Indian Film,"Configuring The Other: The Detective and the Real in Satyajit Ray's Chiriakhana""",,,,,,,,,,,,9.78023E+12,,,,,,,,,,,,,,,,,,,,,,,,Other,,,67-90,,,,,Palgrave, ,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 23621, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2013, ""termid"": ""2013/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Basu Thakur, G.']"
23622,113116789,113116789,,2013.0,,Dr. Santanu Biswas,,,The Literary Lacan: From Literature to ‘Lituraterre’ and Beyond,"""Reading Bhabha, Reading Lacan: Preliminary Notes on Colonial Anxiety""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,240-258,,,,,Seagull U.K. Press , ,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 23622, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2013, ""termid"": ""2012/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Basu Thakur, G.']"
23623,113116789,113116789,,2010.0,,R. Mehta,,,"Bollywood and Globalization: Indian Popular Cinema, Nation, and Diaspora","“Globalization and the Cultural Imaginary: Constructions of Subjectivity, Freedom, & Enjoyment n Popular Indian Cinema”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,75-92,,,,,Anthem, ,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 23623, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2010, ""termid"": ""2010/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Basu Thakur, G.']"
23865,113171989,113171989,,2004.0,,Linda Krikos and Cindy Ingold,,,"Women’s Studies: a Recommended Core Bibliography, 1986-2000","Women in Business, Labor & Economics",,,,,,,,,,,,,3rd edition,,,,,http://digitalcommons.unl.edu/libraryscience/141,,,,,,,,,,,,,,,,,,Other,,,,,,,,Libraries Unlimited, ,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 23865, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2004, ""termid"": ""2004/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Bicknell-Holmes, T.', 'Morstad, J.']"
23868,111113451,111113451,,2015.0,,Gabriel Ricci,,,Culture and Civilization, “I Don’t Know where I am. Boise — or the Basque Country: Diaspora Identity Travel and Tourism.”,,,,,,,,,,,,978-1-4128-5676-8,"Travel, Tourism and Identity",,,,,,,,,,,,,,,,,,,,,,,Other,,,83-113,,,,,Transaction Publishers, ,,,,,,,,,,,,Chapter,,,7,,,[],"[{""id"": 23868, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2015, ""termid"": ""2014/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Ray, N.', 'Bieter Jr, J. P.']"
23869,111113451,111113451,,2016.0,,,,,,Ongi Ettori: A Gathering of Homecomings. Personal and Ancestral Memory,,,,,,,,,,,"Explanation of Other:  chapter in proposed book, ""Tourism and Memories of Home: Roots Tourism, Homesick Tourism, Migrant Return Travel and Other Journeys in Search of Real and Symbolic Homes"" by ChANNEL VIEW publications",,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,, ,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 23869, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2015, ""termid"": ""2014/03"", ""listingorder"": 4, ""completionorder"": 4}]","['Ray, N.', 'Bieter Jr, J. P.']"
23870,111113451,111113451,,1999.0,,Jeronima Echevarria and Richard Etulain,,,Portraits of Basques in the New World ,John B. Archabal  1873-1945:  A Portrait of an Immigrant Success Story ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,University of Nevada Press,"Reno, Nevada ",,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 23870, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 1999, ""termid"": ""1999/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Bieter Jr, J. P.']"
23872,111113451,111113451,,2014.0,,"Todd Shallat, John Ysursa, Dave Lachiondo",,,Becoming Basque:  Ethnic Heritage on Boise's Grove Street,“Trails to Idaho”  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,14-29,,,,,Boise State University, ,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 23872, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2014, ""termid"": ""2013/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Bieter Jr, J. P.']"
23873,111113451,111113451,,2014.0,,"Todd Shallat, John Ysursa, Dave Lachiondo",,,Becoming Basque:  Ethnic Heritage on Boise's Grove Street,Boise’s Wrigley Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Boise State University, ,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 23873, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2014, ""termid"": ""2013/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Bieter Jr, J. P.']"
